Cryptocurrency,Date,Price
Bitcoin,23/05/2019,7881.84672105000
Bitcoin,24/05/2019,7987.37156583000
Bitcoin,25/05/2019,8052.54385907000
Bitcoin,26/05/2019,8673.21603511000
Bitcoin,27/05/2019,8805.77837660000
Bitcoin,28/05/2019,8719.96173620000
Bitcoin,29/05/2019,8659.48775584000
Bitcoin,30/05/2019,8319.47222898000
Bitcoin,31/05/2019,8574.50164907000
Bitcoin,01/06/2019,8564.01647182000
Bitcoin,02/06/2019,8742.95810038000
Bitcoin,03/06/2019,8208.99482964000
Bitcoin,04/06/2019,7707.77077085000
Bitcoin,05/06/2019,7824.23153913000
Bitcoin,06/06/2019,7822.02338228000
Bitcoin,07/06/2019,8043.95135807000
Bitcoin,08/06/2019,7954.12772355000
Bitcoin,09/06/2019,7688.07711075000
Bitcoin,10/06/2019,8000.32982299000
Bitcoin,11/06/2019,7927.71435114000
Bitcoin,12/06/2019,8145.85747373000
Bitcoin,13/06/2019,8230.92383068000
Bitcoin,14/06/2019,8693.83281543000
Bitcoin,15/06/2019,8838.37523367000
Bitcoin,16/06/2019,8994.48801293000
Bitcoin,17/06/2019,9320.35218253000
Bitcoin,18/06/2019,9081.76285149000
Bitcoin,19/06/2019,9273.52176614000
Bitcoin,20/06/2019,9527.16035008000
Bitcoin,21/06/2019,10144.55671680000
Bitcoin,22/06/2019,10701.69101300000
Bitcoin,23/06/2019,10855.37101560000
Bitcoin,24/06/2019,11011.10244850000
Bitcoin,25/06/2019,11790.91653300000
